name,com_available,inventory,verdict,source,checked
Lanternmark,false,NO_EXACT_MATCH,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Lanternpath,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Lanternway,false,NO_EXACT_MATCH,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Lanternbook,false,NO_EXACT_MATCH,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Beaconmark,false,NO_EXACT_MATCH,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Beaconpath,false,NO_EXACT_MATCH,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Beaconway,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Beaconbook,false,NO_EXACT_MATCH,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Candlelot,true,Standard,CLEAR,godaddy-mcp,2026-09-17
Candlebasis,true,Standard,CLEAR,godaddy-mcp,2026-09-17
Candlemark,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Candlepath,false,NO_EXACT_MATCH,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Torchlot,true,Standard,CLEAR,godaddy-mcp,2026-09-17
Torchbasis,true,Standard,CLEAR,godaddy-mcp,2026-09-17
Torchpath,false,NO_EXACT_MATCH,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Torchway,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Dawnlot,true,Standard,CLEAR,godaddy-mcp,2026-09-17
Dawnbasis,true,Standard,CLEAR,godaddy-mcp,2026-09-17
Dawnparity,true,Standard,CLEAR,godaddy-mcp,2026-09-17
Dawnpath,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Daybasis,false,NO_EXACT_MATCH,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Daylot,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Brightlot,false,NO_EXACT_MATCH,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Clearlot,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Compasslot,true,Standard,CLEAR,godaddy-mcp,2026-09-17
Compassbasis,true,Standard,CLEAR,godaddy-mcp,2026-09-17
