name,com_available,inventory,verdict,source,checked
Arela,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Avina,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Belova,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Calia,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Darela,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Enova,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Farela,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Halia,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Kalia,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Nolia,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Orela,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Selia,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Ulela,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Winola,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Yalena,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Zelia,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Danira,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Elira,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Ivara,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Novira,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Sarela,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Tavina,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Mirela,false,n/a,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Lorvana,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
