name,com_available,inventory,verdict,source,checked
Kelvo,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Tarvo,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Delvo,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Garvo,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Jarvo,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Lorvo,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Renvo,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Sarvo,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Tervo,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Zervo,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Kelva,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Tarva,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Marva,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Delva,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Jarva,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Lorva,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Renva,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Sarva,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Terva,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Zerva,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Kelven,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Tarven,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Norven,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Selven,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Marven,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Delven,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Jarven,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Lorven,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Renven,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
Sarven,false,n,BLOCKED_TAKEN,godaddy-mcp,2026-09-17
Terven,true,Premium,PREMIUM_OUT_OF_BUDGET,godaddy-mcp,2026-09-17
