name,exact_match_app,top_result,total_results
"Tenura","no","-","0"
"Ankram","no","-","0"
"Librova","no","-","0"
"Meriden","YES","Meriden","3"
"Kairova","YES","Kairova","3"
"Fulcra","no","Context: Personal Data Kit","1"
"Basira","no","منطوق","4"
"Stavion","no","-","0"
"Portara","no","Netto - partita IVA","1"
"Quantara","YES","Quantara App","5"
"Tessira","no","-","0"
"Cordant","no","-","0"
"Solvera","no","Solvera: The Math Solver App","5"
"Equora","no","Equora Riding","4"
"Nautera","no","-","0"
"Ordena","no","Goods Puzzle: 3D Sorting Games","4"
"Fidara","YES","Fidara","1"
"Claresta","no","-","0"
"Verantis","no","-","0"
"Rondeva","no","-","0"
"Corvena","no","-","0"
"Talvin","no","-","0"
"Norvell","no","Norvell Professional","1"
"Pellant","no","-","0"
"Sperra","no","App Lock - Lock Apps & Photos","4"
"Rivent","no","-","0"
"Halvern","no","-","0"
"Denova","YES","Denova","3"
"Estera","no","Erste","3"
"Orbita","YES","Orbita App","5"
"Lumera","no","Lumera AI: Food Video Maker","5"
"Tavelo","no","-","0"
"Sember","no","-","0"
"Ventora","YES","Ventora - AI HVAC Assistant","4"
"Torven","no","-","0"
"Keelstone","no","-","0"
"Tidemark","YES","Tidemark: Hydration Guide","2"
"Plumbline","no","Plumbline - The Line Between","5"
"Marketday","no","MarketDay: Farmers Markets","2"
"Northbell","no","-","0"
"Larkstone","no","-","0"
"Emberlane","no","-","0"
"Stonebourse","no","-","0"
"Openbourse","no","-","0"
"Dawnledger","no","Dawn Ledger: Net Worth Tracker","1"
"Ledgerlane","YES","LedgerLane","1"
"Tallyhouse","no","-","0"
"Anvilbay","no","-","0"
"Mainmast","no","-","0"
"Beamhouse","no","-","0"
"Longtide","no","-","0"
"Riverlot","no","-","0"
"Clearbasis","no","-","0"
"Truetenor","no","-","0"
"Firstparity","no","-","0"
"Quietfloat","no","-","0"
"Bellbourse","no","-","0"
"Homeport","YES","HomePort","2"
"Stillpoint","no","The Stillpoint App","5"
"Slatehouse","no","-","0"
"Helmstone","no","-","0"
"Cairnpost","no","-","0"
"Openfloat","YES","Openfloat","1"
"Evenbasis","no","-","0"
"Lanternlot","no","-","0"
"Boursa","YES","Boursa Kuwait for Mobile","5"
"Boursel","no","-","0"
"Tenorly","no","GIF Keyboard","5"
"Parita","no","Avcı Gayrimenkul","1"
"Ledgra","no","-","0"
"Tranchet","no","-","0"
"Lotline","no","LotLine: GPS Area Calculator","1"
"Spreadwell","no","-","0"
"Floatly","YES","Floatly","1"
"Indexel","no","-","0"
"Basline","no","Baseline - Tennis & Pickleball","4"
"Midprice","no","MidPrice - changing money","1"
"Pennant","YES","Pennant","5"
"Bellwether","YES","Model UN","4"
"Tickline","no","-","0"
"Lotwell","no","-","0"
"Paritan","no","-","0"
"Tenorbell","no","-","0"
"Quantal","no","-","0"
"Trancha","no","-","0"
"Keelson","no","Keelson: Prostate & Pelvic","1"
"Camber","no","Canva: AI Video & Photo Editor","5"
"Purlin","no","Collective Roots Agency","4"
"Soffit","no","Lomanco Vent Tools","3"
"Escarp","no","Tweeva","1"
"Barbican","no","Barbican Estate","2"
"Foredeck","no","-","0"
"Windlass","no","Windlass Canal Locks","3"
"Halyard","YES","Halyard","3"
"Bollard","no","8 Ball Pool™","5"
"Marline","no","Merlin Bird ID by Cornell Lab","5"
"Cleat","no","Cleaner Kit - Clean Up Storage","5"
"Tiller","YES","TikTok - Videos  Music & LIVE","5"
"Thalweg","no","-","0"
"Gudgeon","no","Gudgeons Prentice Solicitors","2"
"Ankora","YES","Ankora: Decision Maker","4"
"Kompas","no","Qibla Compass (Kaaba Locator)","5"
"Ledjer","no","Trust: Crypto & Bitcoin Wallet","3"
"Tallee","no","Taller - Maximize your height","5"
"Parrity","YES","Parrity","5"
"Tenur","no","Tenure: License Tracker","3"
"Steddy","no","Steddy: Stay Consistent","2"
"Klarity","no","KlarityOS","3"
"Bourz","no","-","0"
"Merid","no","Merid10s","1"
"Northing","YES","Nothing X","5"
"Mainspring","no","Habit Tracker - Mainspring","2"
"Escapement","no","Arrows – Puzzle Escape","5"
"Detent","no","Detent: Strength Log","4"
"Lintel","no","Lintel: Renovation Budget","5"
"Corbel","no","Graphene India 2026","4"
"Trestle","YES","Trestle: Meet Business Pros","3"
"Spandrel","no","-","0"
"Abutment","no","Abut","2"
"Tourbillon","no","Shade Pieces","2"
