"Domain","Available","Premium","Price"
"torven.com","taken","",""
"keelstone.com","taken","",""
"rondeva.com","taken","",""
"larkstone.com","taken","",""
"truetenor.com","taken","",""
"foredeck.com","taken","",""
"beamhouse.com","taken","",""
"lotline.com","taken","",""
"indexel.com","taken","",""
"tallyhouse.com","taken","",""
"cairnpost.com","taken","",""
"anvilbay.com","taken","",""
"lanternlot.com","available","","$11.28"
"evenbasis.com","available","","$11.28"
"clearbasis.com","taken","",""
